City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,walvis bay,-22.9575,14.5053,16.53,88,0,4.12,NA,1682474502
83,praia da vitoria,38.7333,-27.0667,18.14,82,40,5.69,PT,1682474477
84,hasaki,35.7333,140.8333,19.56,86,100,11.62,JP,1682474559
85,morales,2.757,-76.6172,15.96,96,95,0.36,CO,1682474559
86,quang ngai,15.1167,108.8,29.05,66,100,2.84,VN,1682474559
87,novodvinsk,64.4165,40.8122,1.86,94,100,2.93,RU,1682474560
88,minas de marcona,-15.2119,-75.1103,17.14,82,57,3.81,PE,1682474505
89,nogliki,51.8333,143.1667,2.6,88,100,6.03,RU,1682474483
90,invercargill,-46.4,168.35,11.68,82,99,0.89,NZ,1682474395
91,palmer,42.1584,-72.3287,8.88,76,36,1.63,US,1682474560
92,hermanus,-34.4187,19.2345,11.0,86,100,3.58,ZA,1682474391
93,ermoupolis,37.4423,24.9425,16.39,82,95,7.2,GR,1682474560
94,kitimat,54.0524,-128.6534,9.21,40,100,0.7,CA,1682474240
95,isafjordur,66.0755,-23.124,-1.94,63,4,2.35,IS,1682474427
96,merizo village,13.2658,144.6691,30.88,86,11,8.1,GU,1682474561
97,uturoa,-16.7333,-151.4333,28.17,75,81,3.72,PF,1682474403
98,kindu,-2.95,25.95,20.74,100,100,0.32,CD,1682474445
99,baruun-urt,46.6806,113.2792,8.95,17,99,6.64,MN,1682474561
100,ulsteinvik,62.3432,5.8487,2.95,86,100,3.13,NO,1682474561
101,hammerfest,70.6634,23.6821,-0.75,74,75,0.0,NO,1682474510
102,batie,9.8833,-2.9167,27.7,57,100,2.3,BF,1682474562
103,daru,-9.0763,143.2092,27.78,86,100,5.78,PG,1682474562
104,kovdor,67.5662,30.4758,-2.63,86,100,4.49,RU,1682474562
105,volterra,43.4003,10.86,9.67,90,2,1.3,IT,1682474562
106,zaozersk,69.4005,32.4476,-8.45,93,91,1.26,RU,1682474440
107,nenjiang,49.1833,125.2167,8.51,20,100,3.57,CN,1682474562
108,remire-montjoly,4.9167,-52.2667,24.02,100,75,2.57,GF,1682474445
109,coco,18.0072,-66.2593,26.55,92,98,2.02,PR,1682474562
110,puerto ayora,-0.7393,-90.3518,25.31,94,100,1.79,EC,1682474432
111,blackmans bay,-43.0167,147.3167,21.52,53,8,1.79,AU,1682474396
112,callao,-12.0667,-77.15,24.84,73,0,5.14,PE,1682474489
113,caleta de carquin,-11.0925,-77.6267,23.19,82,95,6.75,PE,1682474563
114,wainwright,52.839,-110.8572,4.96,78,92,4.6,CA,1682474487
115,san patricio,28.017,-97.5169,23.97,87,61,4.79,US,1682474488
116,kyshtovka,56.555,76.6271,8.3,85,46,2.82,RU,1682474563
117,andergrove,-21.0833,149.1833,22.03,80,83,8.42,AU,1682474563
118,segezha,63.7415,34.3222,-0.87,99,99,2.58,RU,1682474563
119,tabou,4.423,-7.3528,26.22,87,100,2.82,CI,1682474563
120,kunming,25.0389,102.7183,13.96,67,40,1.0,CN,1682474563
121,saipan,15.1355,145.701,31.39,100,40,9.77,MP,1682474431
122,porto novo,6.4965,2.6036,25.9,86,100,1.87,BJ,1682474564
123,iqaluit,63.7506,-68.5145,-1.15,100,75,0.0,CA,1682474393
124,alice springs,-23.7,133.8833,28.75,26,76,6.17,AU,1682474457
125,tobruk,32.0836,23.9764,16.63,70,58,1.53,LY,1682474564
126,atafu village,-8.5421,-172.5159,29.23,74,52,6.31,TK,1682474390
127,yambio,4.5721,28.3955,19.21,97,100,1.69,SS,1682474564
128,preobrazheniye,42.9019,133.9064,7.57,69,93,3.51,RU,1682474564
129,ribeira grande,38.5167,-28.7,17.1,96,100,6.26,PT,1682474397
130,takoradi,4.8845,-1.7554,26.75,87,81,3.59,GH,1682474432
131,melekeok village,7.4957,134.6367,30.31,70,75,4.12,PW,1682474565
132,hurricane,37.1753,-113.2899,19.73,27,4,3.42,US,1682474565
133,la passe,45.5549,-0.8967,11.66,98,100,3.27,FR,1682474445
134,lander,42.833,-108.7307,8.45,77,100,3.6,US,1682474565
135,port elizabeth,-33.918,25.5701,19.06,99,100,1.54,ZA,1682474386
136,touros,-5.1989,-35.4608,25.11,88,92,3.75,BR,1682474497
137,vilyuchinsk,52.9306,158.4028,6.15,75,34,6.63,RU,1682474383
138,tikhvin,59.6451,33.5294,8.46,76,100,1.59,RU,1682474565
139,thunder bay,48.4001,-89.3168,3.99,52,75,2.06,CA,1682474346
140,amurzet,47.6967,131.0981,8.99,22,3,6.58,RU,1682474565
141,aitape,-3.1374,142.3475,30.22,69,38,3.06,PG,1682474566
142,colonel hill,22.7667,-74.2167,25.4,77,2,5.41,BS,1682474566
143,laguna,38.421,-121.4238,29.1,18,0,3.6,US,1682474566
144,vorgashor,67.5833,63.95,-10.78,96,90,4.62,RU,1682474398
145,kuchinda,21.7333,84.35,27.88,52,93,1.95,IN,1682474566
146,newman,37.3138,-121.0208,26.13,43,6,2.81,US,1682474566
147,san kamphaeng,18.7449,99.1195,33.15,54,20,1.54,TH,1682474566
148,liwale,-9.7667,37.9333,17.17,88,2,1.82,TZ,1682474566
149,ta`u,-14.2336,-169.5144,28.14,70,9,2.53,AS,1682474449
150,sao joao da barra,-21.6403,-41.0511,23.43,86,5,2.2,BR,1682474389
151,tindouf,27.6711,-8.1474,27.94,14,100,4.18,DZ,1682474567
152,nizhnevartovsk,60.9344,76.5531,0.01,100,100,2.0,RU,1682474567
153,nikolayevsk-on-amure,53.1406,140.73,1.92,93,100,4.25,RU,1682474492
154,santa ana,33.7456,-117.8678,21.89,75,75,5.14,US,1682474400
155,axim,4.8699,-2.2405,25.46,91,100,1.84,GH,1682474567
156,port hedland,-20.3167,118.5667,30.03,66,40,3.09,AU,1682474426
157,adam,22.3756,57.5233,24.2,60,5,0.85,OM,1682474567
158,villazon,-22.0866,-65.5942,9.34,16,0,4.57,BO,1682474567
159,ust'-ilimsk,58.0006,102.6619,-1.15,86,100,4.08,RU,1682474567
160,maputo,-25.9653,32.5892,22.9,91,40,1.54,MZ,1682474550
161,codrington,-38.2667,141.9667,23.12,45,100,6.97,AU,1682474383
162,wailua homesteads,22.0669,-159.378,27.24,70,39,1.79,US,1682474388
163,san luis de la loma,17.2706,-100.8939,26.07,71,89,2.94,MX,1682474568
164,new plymouth,-39.0667,174.0833,16.84,57,21,7.16,NZ,1682474568
165,veraval,20.9,70.3667,26.7,65,4,2.8,IN,1682474568
166,mount gambier,-37.8333,140.7667,22.84,44,100,5.3,AU,1682474417
167,mulayjah,27.271,48.4242,24.55,35,50,3.45,SA,1682474568
168,constantia,44.1833,28.65,8.38,88,72,4.09,RO,1682474451
169,lebu,-37.6167,-73.65,14.09,80,100,2.2,CL,1682474461
170,visakhapatnam,17.69,83.2093,26.94,74,20,1.54,IN,1682474568
171,kalianget,-7.05,113.9333,28.49,74,36,4.22,ID,1682474569
172,pangai,-19.8,-174.35,29.06,70,20,4.63,TO,1682474569
173,horta,38.5333,-28.6333,16.68,96,100,5.81,PT,1682474569
174,san luis,-33.295,-66.3356,16.08,60,78,2.36,AR,1682474569
175,fortuna,40.5982,-124.1573,14.96,77,9,0.45,US,1682474476
176,ad dabbah,18.05,30.95,29.11,17,42,5.1,SD,1682474466
177,huarmey,-10.0681,-78.1522,24.81,80,94,3.05,PE,1682474392
